"","X","minute","location_x","location_y","under_pressure","team.name","player.name","shot.end_location_x","shot.end_location_y","match_date","kick_off","home_score","away_score","home_team.home_team_name","home_team.home_team_group","away_team.away_team_name","away_team.away_team_group","competition_stage.name","total_goals","result","game_description"
"164",164,100,110,40,NA,"Croatia","Domagoj Vida",120,44,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"165",165,114,114,41,NA,"Russia","Mario Figueira Fernandes",120,36.2,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"166",166,121,109,41,NA,"Croatia","Marcelo Brozovic",120,43.6,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"167",167,122,109,41,NA,"Russia","Alan Dzagoev",120,43.2,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"168",168,125,109,41,NA,"Croatia","Luka Modric",119,37.6,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"169",169,125,109,41,NA,"Russia","Sergei Ignashevich",120,37,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"170",170,126,109,41,NA,"Croatia","Domagoj Vida",120,36.6,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"171",171,127,109,41,NA,"Russia","Daler Kuzyaev",120,36.2,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"172",172,127,109,41,NA,"Croatia","Ivan Rakitic",120,36.6,"2018-07-07","20H 0M 0S",2,2,"Russia",NA,"Croatia",NA,"Quarter-finals",4,"draw","Russia vs Croatia"
"173",173,50,118,47,TRUE,"France","Samuel Yves Umtiti",120,43.6,"2018-07-10","20H 0M 0S",1,0,"France",NA,"Belgium",NA,"Semi-finals",1,"h_win","France vs Belgium"
"174",174,4,96,43,NA,"England","Kieran Trippier",120,43.4,"2018-07-11","20H 0M 0S",2,1,"Croatia",NA,"England",NA,"Semi-finals",3,"h_win","Croatia vs England"
"175",175,67,114,40,NA,"Croatia","Ivan Perisic",120,36.4,"2018-07-11","20H 0M 0S",2,1,"Croatia",NA,"England",NA,"Semi-finals",3,"h_win","Croatia vs England"
"176",176,108,114,33,NA,"Croatia","Mario Mandzukic",119,42,"2018-07-11","20H 0M 0S",2,1,"Croatia",NA,"England",NA,"Semi-finals",3,"h_win","Croatia vs England"
"177",177,3,113,41,NA,"Belgium","Thomas Meunier",120,41.9,"2018-07-14","16H 0M 0S",2,0,"Belgium",NA,"England",NA,"3rd Place Final",2,"h_win","Belgium vs England"
"178",178,81,112,35,NA,"Belgium","Eden Hazard",120,36.6,"2018-07-14","16H 0M 0S",2,0,"Belgium",NA,"England",NA,"3rd Place Final",2,"h_win","Belgium vs England"
"179",179,27,105,32,NA,"Croatia","Ivan Perisic",120,43.6,"2018-07-15","17H 0M 0S",4,2,"France",NA,"Croatia",NA,"Final",6,"h_win","France vs Croatia"
"180",180,37,108,40,NA,"France","Antoine Griezmann",120,37.6,"2018-07-15","17H 0M 0S",4,2,"France",NA,"Croatia",NA,"Final",6,"h_win","France vs Croatia"
"181",181,58,102,39,NA,"France","Paul Pogba",120,37.6,"2018-07-15","17H 0M 0S",4,2,"France",NA,"Croatia",NA,"Final",6,"h_win","France vs Croatia"
"182",182,64,94,40,NA,"France","Kylian Mbappe Lottin",120,37,"2018-07-15","17H 0M 0S",4,2,"France",NA,"Croatia",NA,"Final",6,"h_win","France vs Croatia"
"183",183,68,114,43,NA,"Croatia","Mario Mandzukic",120,36.6,"2018-07-15","17H 0M 0S",4,2,"France",NA,"Croatia",NA,"Final",6,"h_win","France vs Croatia"
